date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:31:14	44/44	---MCZ	200	added ('OK')	text/plain	date:Thu,%2030%20May%202024%2020:43:11%20GMT	https://globalfinessetrade.com/robots.txt		(from )
03:31:16	96903/96903	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2010:31:17%20GMT	https://globalfinessetrade.com/	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/index.html	(from )
03:31:17	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/https___globalfinessetrade.com_/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://globalfinessetrade.com/)
03:31:17	807/807	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20May%202024%2020:43:12%20GMT	https://globalfinessetrade.com/temp/custom/style2.css	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/temp/custom/style2.css	(from https://globalfinessetrade.com/)
03:31:17	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/https___globalfinessetrade.com_/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://globalfinessetrade.com/)
03:31:18	1174/1174	---M-Z	200	added ('OK')	text/css	etag:%225eb03f3f-496%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.css	C:/My%20Web%20Sites/https___globalfinessetrade.com_/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.css	(from https://globalfinessetrade.com/)
03:31:19	1152/1152	---M-Z	200	added ('OK')	text/css	etag:%225eb03f3f-480%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.theme.min.css	C:/My%20Web%20Sites/https___globalfinessetrade.com_/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.theme.min.css	(from https://globalfinessetrade.com/)
03:31:20	97362/97362	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-17c52%22	https://code.jquery.com/jquery-1.12.0.min.js	C:/My%20Web%20Sites/https___globalfinessetrade.com_/code.jquery.com/jquery-1.12.0.min.js	(from https://globalfinessetrade.com/)
03:31:20	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5b5b2fa19bd66ff23211d9f844e0131%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	C:/My%20Web%20Sites/https___globalfinessetrade.com_/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from https://globalfinessetrade.com/)
03:31:21	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2010:31:23%20GMT	https://globalfinessetrade.com/https//:maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap-theme.min.css	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/https/_maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap-theme.min.css	(from https://globalfinessetrade.com/)
03:31:22	99/99	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20May%202024%2020:43:12%20GMT	https://globalfinessetrade.com/temp/custom/style.css	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/temp/custom/style.css	(from https://globalfinessetrade.com/)
03:31:23	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2010:31:25%20GMT	https://globalfinessetrade.com/css/style.html	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/css/style.html	(from https://globalfinessetrade.com/)
03:31:23	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/https___globalfinessetrade.com_/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://globalfinessetrade.com/)
03:31:24	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2010:31:26%20GMT	https://globalfinessetrade.com/img/fond_57px.html	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/img/fond_57px.html	(from https://globalfinessetrade.com/)
03:31:24	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2010:31:26%20GMT	https://globalfinessetrade.com/img/fond_72px.html	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/img/fond_72px.html	(from https://globalfinessetrade.com/)
03:31:25	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2010:31:27%20GMT	https://globalfinessetrade.com/img/fond_114px.html	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/img/fond_114px.html	(from https://globalfinessetrade.com/)
03:31:26	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2010:31:27%20GMT	https://globalfinessetrade.com/img/fond_144px.html	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/img/fond_144px.html	(from https://globalfinessetrade.com/)
03:31:26	5841/5841	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Oct%202024%2009:12:04%20GMT	https://globalfinessetrade.com/storage/app/public/photos/hEK6uJhK86rE4Ed4GgPpXOXyL75KJclDMsKnH67c.png	C:/My%20Web%20Sites/https___globalfinessetrade.com_/globalfinessetrade.com/storage/app/public/photos/hEK6uJhK86rE4Ed4GgPpXOXyL75KJclDMsKnH67c.png	(from https://globalfinessetrade.com/)
